	Word	WordPhono	leftPhonoFuzz	IfixPhono
107	vlooienband	floj@bAnt	floj	@
111	vlooienband	vloj@bAnt	vloj	@
487	huwelijksleven	hyw@l@E+kslev@	hyw@l@E+k	s
673	hondsdraf	hOnzdrAf	hOn	z
677	gezichtspunt	x@zIxspYn	x@zIx	s
686	hemdsmouwen	hEmsmA+w@	hEm	s
713	verstandshuwelijk	v@rstAnshywl@k	v@rstAn	s
726	godenbeelden	God@nbeld@	God	@n
733	onafhankelijkheidsoorlog	OnAvANkl@kE+tsorlOx	OnAvANkl@kE+t	s
738	parlementsleden	pArl@mEnsled@	pArl@mEn	s
755	erwtensoep	Erwt@sup	Erwt	@
771	overheidsdiensten	ov@rE+dzdinst@n	ov@rE+d	z
787	minderwaardigheidsgevoelens	mInd@rward@GE+tsx@vul@s	mInd@rward@GE+t	s
789	bondscoach	bOnskotS	bOn	s
790	jongensjaren	jON@nsjar@n	jON@n	s
791	hartstocht	hArstOxt	hAr	s
795	landsgrenzen	lAnsxrEnz@	lAn	s
796	gerechtshof	G@rExshOf	G@rEx	s
825	overlijdensbericht	ov@rlE+d@nzb@rIx	ov@rlE+d@n	z
838	advocatenkantoor	AdvOkat@kAntor	Adfokat	@
846	bondsdag	bOnzdAG	bOn	z
866	veiligheidsbril	vE+l@GE+tsbrIl	vE+l@GE+t	s
889	identiteitsbewijs	id@ntItE+dzb@wE+s	id@ntItE+d	z
893	geslachtsgemeenschap	x@slAxsx@mensxAp	x@slAx	s
895	geslachtsdelen	x@slAGzdel@	x@slAG	s
910	gezichtspunten	G@zIxspYnt@	G@zIx	s
914	geslachtsorganen	G@slAxsOrGan@n	G@slAx	s
915	lapjeskat	lApj@skAt	lApj@	s
922	plattelandsbevolking	plAt@lAnzb@vOlkIN	plAt@lAn	z
942	minderwaardigheidscomplexen	mInd@rward@GE+tskOmplEks@n	mInd@rward@GE+t	s
944	etenstijd	et@nstE+t	et@n	s
980	vertrouwensman	f@rtrA+@nsmAn	f@rtrA+@n	s
983	volkskunde	vOl@kskYnd@	vOl@k	s
986	huisjesslak	hY+S@slAk	hY+S@	s
988	geslachtsdelen	G@slAGzdel@	G@slAG	s
1017	rijkeluiskinderen	rE+k@lY+skInd@r@	rE+k@lY+	s
1028	afstandsbediening	AfstAnzb@dinIN	AfstAn	z
1043	vertrouwensman	v@rtrA+@nsmAn	v@rtrA+@n	s
1062	geluidsboxen	G@lY+dzbOks@n	G@lY+d	z
1072	karnemelkspap	kArn@mEl@kspAp	kArn@mEl@k	s
1074	toevluchtsoord	tuvlYxsort	tuvlYx	s
1080	kuisheidsgordel	kY+sE+tsxOrd@l	kY+sE+t	s
1114	etenstijd	et@nstE+d	et@n	s
1126	veiligheidsagent	vE+l@GE+tsAGEnt	vE+l@GE+t	s
1136	identiteitskaart	Id@ntitE+tskart	Id@ntitE+t	s
1147	handwerkslieden	AntwEr@kslid@	AntwEr@k	s
1161	parlementslid	pArl@mEnslIt	pArl@mEn	s
